user_id,gender,age,age_group,country
1,Female,54,46-60,CA
2,Other,33,26-35,DE
3,Male,38,36-45,AU
4,Female,22,16-25,CA
5,Other,29,26-35,US
6,Female,17,16-25,AU
7,Female,39,36-45,UK
8,Female,41,36-45,UK
9,Other,55,46-60,DE
10,Male,44,36-45,DE
11,Other,33,26-35,DE
12,Other,24,16-25,CA
13,Female,37,36-45,IN
14,Female,53,46-60,US
15,Other,37,36-45,IN
16,Male,25,16-25,FR
17,Female,36,36-45,DE
18,Male,58,46-60,US
19,Female,34,26-35,DE
20,Male,35,26-35,UK
21,Female,33,26-35,AU
22,Male,49,46-60,AU
23,Female,45,36-45,PK
24,Male,44,36-45,CA
25,Other,32,26-35,CA
26,Female,19,16-25,US
27,Male,28,26-35,IN
28,Other,58,46-60,FR
29,Male,33,26-35,FR
30,Female,22,16-25,FR
31,Other,44,36-45,UK
32,Male,53,46-60,US
33,Female,49,46-60,IN
34,Male,49,46-60,US
35,Female,55,46-60,FR
36,Other,24,16-25,DE
37,Male,22,16-25,DE
38,Female,50,46-60,US
39,Female,42,36-45,DE
40,Male,17,16-25,DE
41,Female,51,46-60,UK
42,Female,46,46-60,US
43,Male,22,16-25,DE
44,Male,37,36-45,DE
45,Male,39,36-45,PK
46,Female,18,16-25,PK
47,Female,56,46-60,CA
48,Male,58,46-60,US
49,Other,59,46-60,US
50,Male,50,46-60,PK
51,Female,45,36-45,CA
52,Other,56,46-60,FR
53,Female,38,36-45,AU
54,Male,57,46-60,DE
55,Female,46,46-60,UK
56,Female,41,36-45,IN
57,Other,19,16-25,IN
58,Male,48,46-60,FR
59,Other,22,16-25,DE
60,Other,17,16-25,IN
61,Female,25,16-25,UK
62,Other,49,46-60,PK
63,Other,59,46-60,IN
64,Female,45,36-45,CA
65,Male,45,36-45,IN
66,Other,21,16-25,FR
67,Male,45,36-45,DE
68,Female,45,36-45,UK
69,Other,22,16-25,AU
70,Female,56,46-60,US
71,Other,51,46-60,AU
72,Female,22,16-25,AU
73,Other,33,26-35,CA
74,Other,59,46-60,AU
75,Male,41,36-45,DE
76,Male,25,16-25,UK
77,Male,41,36-45,FR
78,Other,30,26-35,FR
79,Male,23,16-25,US
80,Female,47,46-60,PK
81,Male,34,26-35,AU
82,Other,45,36-45,FR
83,Other,32,26-35,PK
84,Other,51,46-60,CA
85,Other,21,16-25,FR
86,Female,20,16-25,IN
87,Male,21,16-25,US
88,Female,44,36-45,UK
89,Other,50,46-60,PK
90,Other,52,46-60,DE
91,Male,43,36-45,UK
92,Female,41,36-45,PK
93,Female,57,46-60,IN
94,Other,50,46-60,UK
95,Female,35,26-35,FR
96,Other,51,46-60,IN
97,Male,34,26-35,CA
98,Female,47,46-60,US
99,Male,19,16-25,PK
100,Female,30,26-35,UK
101,Female,27,26-35,FR
102,Male,25,16-25,DE
103,Female,47,46-60,AU
104,Male,33,26-35,US
105,Male,46,46-60,CA
106,Other,50,46-60,AU
107,Male,31,26-35,FR
108,Female,45,36-45,FR
109,Male,51,46-60,FR
110,Other,33,26-35,CA
111,Male,42,36-45,DE
112,Male,16,16-25,CA
113,Other,31,26-35,FR
114,Male,40,36-45,AU
115,Male,57,46-60,FR
116,Female,17,16-25,CA
117,Male,31,26-35,CA
118,Other,45,36-45,UK
