user_id,listening_time,songs_played_per_day,skip_rate,ads_listened_per_week,offline_listening,engagement_score,high_skip_user,subscription_type,device_type,is_churned
1,26,23,0.2,31,0,49,0,Free,Desktop,1
2,141,62,0.34,0,1,203,0,Family,Web,0
3,199,38,0.04,0,1,237,0,Premium,Mobile,1
4,36,2,0.31,0,1,38,0,Student,Mobile,0
5,250,57,0.36,0,1,307,0,Family,Mobile,1
6,219,35,0.46,13,0,254,0,Free,Desktop,0
7,289,44,0.38,0,1,333,0,Premium,Desktop,0
8,210,68,0.11,5,0,278,0,Free,Mobile,0
9,50,66,0.29,0,1,116,0,Student,Web,0
10,278,94,0.38,44,0,372,0,Free,Mobile,0
11,86,44,0.11,37,0,130,0,Free,Web,0
12,113,24,0.56,39,0,137,1,Free,Desktop,1
13,24,86,0.11,0,1,110,0,Family,Desktop,0
14,45,47,0.6,0,1,92,1,Premium,Web,0
15,114,13,0.44,0,1,127,0,Family,Web,1
16,230,25,0.26,0,1,255,0,Student,Desktop,0
17,181,93,0.23,0,1,274,0,Student,Mobile,0
18,120,8,0.41,0,1,128,0,Family,Desktop,0
19,160,32,0.35,0,1,192,0,Family,Mobile,0
20,281,51,0.35,0,1,332,0,Student,Desktop,0
21,138,60,0.6,0,1,198,1,Student,Web,0
22,20,7,0.45,0,1,27,0,Premium,Desktop,0
23,138,95,0.1,0,1,233,0,Family,Desktop,0
24,134,97,0.42,0,1,231,0,Family,Web,0
25,133,22,0.59,0,1,155,1,Premium,Desktop,0
26,39,29,0.53,0,1,68,1,Student,Desktop,0
27,293,67,0.33,23,0,360,0,Free,Mobile,1
28,15,55,0.3,35,0,70,0,Free,Mobile,0
29,123,13,0.22,7,0,136,0,Free,Desktop,0
30,18,12,0.39,0,1,30,0,Premium,Mobile,0
31,149,45,0.22,0,1,194,0,Premium,Web,0
32,72,12,0.17,0,1,84,0,Student,Web,0
33,291,74,0.11,0,1,365,0,Premium,Mobile,0
34,147,52,0.43,0,1,199,0,Family,Web,0
35,18,2,0.04,0,1,20,0,Premium,Mobile,0
36,59,53,0.18,28,0,112,0,Free,Web,1
37,280,99,0.29,0,1,379,0,Student,Desktop,0
38,117,98,0.04,0,1,215,0,Family,Mobile,0
39,47,59,0.06,0,1,106,0,Family,Desktop,0
40,260,44,0.5,0,1,304,0,Family,Desktop,1
41,122,16,0.54,0,1,138,1,Premium,Desktop,0
42,255,14,0.39,0,1,269,0,Student,Desktop,0
43,49,39,0.51,0,1,88,1,Family,Mobile,0
44,90,89,0.4,0,1,179,0,Family,Mobile,0
45,288,69,0.48,0,1,357,0,Family,Web,0
